                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8079,                 2.3256,                 1.5786,                0.44043,                0.36577,                0.33898,                 0.1544,                 1.9397,                 2.5568,                  1.697,             0.00066391,             0.00066391,             0.00066391
                      2,                 1.8314,                 2.0287,                 1.5825,                0.41901,                0.34442,                0.31641,                0.13684,                 2.0261,                 2.1924,                 1.7182,              0.0012867,              0.0012867,              0.0012867
                      3,                   1.84,                 1.9952,                  1.593,                0.43061,                0.40442,                0.35356,                0.16613,                 1.9246,                 2.0777,                 1.6676,              0.0018654,              0.0018654,              0.0018654
                      4,                 1.8188,                 1.9132,                 1.5899,                0.42751,                0.39889,                0.34065,                0.15711,                 1.8887,                 2.0318,                 1.6489,               0.001802,               0.001802,               0.001802
                      5,                  1.764,                 1.8043,                 1.5292,                0.51795,                0.42995,                 0.4535,                0.22251,                 1.8042,                 1.8822,                  1.566,               0.001802,               0.001802,               0.001802
                      6,                 1.7216,                 1.7584,                 1.5035,                0.57228,                0.43892,                0.48966,                0.24432,                 1.7747,                 1.7878,                 1.5531,               0.001736,               0.001736,               0.001736
                      7,                 1.7307,                 1.7496,                 1.4954,                 0.6264,                0.46515,                0.53157,                0.26447,                 1.7647,                 1.7156,                 1.5141,                0.00167,                0.00167,                0.00167
                      8,                 1.7018,                 1.7449,                 1.4911,                0.61176,                0.46377,                0.51906,                0.27642,                 1.7005,                 1.6678,                 1.4853,               0.001604,               0.001604,               0.001604
                      9,                 1.6829,                 1.6861,                  1.465,                0.64849,                0.51819,                0.57014,                 0.2892,                 1.6986,                 1.5808,                 1.4745,               0.001538,               0.001538,               0.001538
                     10,                 1.6474,                 1.6297,                 1.4479,                0.62858,                0.50518,                0.56249,                0.29104,                 1.6703,                 1.5376,                 1.4573,               0.001472,               0.001472,               0.001472
                     11,                 1.6499,                 1.6202,                 1.4531,                0.60141,                0.53315,                0.57917,                0.29451,                 1.6947,                 1.5817,                 1.4866,               0.001406,               0.001406,               0.001406
                     12,                 1.6376,                 1.6121,                 1.4494,                0.62052,                0.52249,                0.57693,                0.30509,                 1.6615,                 1.5159,                 1.4526,                0.00134,                0.00134,                0.00134
                     13,                 1.6264,                 1.5703,                 1.4359,                0.64773,                0.50587,                0.57556,                0.30275,                 1.6161,                 1.5418,                 1.4235,               0.001274,               0.001274,               0.001274
                     14,                 1.5983,                 1.5263,                 1.4122,                0.62511,                0.54086,                0.59281,                0.31571,                 1.6041,                 1.4862,                 1.4368,               0.001208,               0.001208,               0.001208
                     15,                 1.5824,                 1.5097,                 1.4025,                0.69387,                0.56246,                0.63928,                0.33832,                 1.6404,                 1.4438,                 1.4409,               0.001142,               0.001142,               0.001142
                     16,                 1.5865,                 1.4675,                 1.4072,                0.65879,                0.56522,                0.61895,                0.33109,                 1.6546,                 1.4336,                 1.4539,               0.001076,               0.001076,               0.001076
                     17,                 1.5446,                 1.4568,                 1.3931,                0.66577,                0.55832,                0.63794,                0.34922,                 1.5864,                  1.413,                 1.4154,                0.00101,                0.00101,                0.00101
                     18,                 1.5457,                 1.4435,                 1.3802,                0.67187,                0.59558,                0.66019,                0.36087,                 1.5812,                 1.3269,                 1.3881,               0.000944,               0.000944,               0.000944
                     19,                 1.5481,                 1.4049,                 1.3827,                0.67814,                0.58454,                0.65466,                0.35209,                 1.5692,                 1.4135,                 1.3857,               0.000878,               0.000878,               0.000878
                     20,                 1.5084,                 1.3822,                 1.3541,                0.70734,                0.60179,                0.66581,                0.36317,                  1.575,                 1.3768,                 1.3879,               0.000812,               0.000812,               0.000812
                     21,                  1.469,                 1.3623,                 1.3376,                0.69461,                0.58592,                0.66466,                 0.3685,                 1.5427,                 1.3351,                 1.3795,               0.000746,               0.000746,               0.000746
                     22,                 1.4456,                 1.2791,                 1.3372,                0.73373,                0.57902,                0.68137,                0.37664,                  1.557,                 1.2869,                 1.3902,                0.00068,                0.00068,                0.00068
                     23,                 1.4337,                 1.2552,                 1.3207,                0.67959,                0.59903,                0.66403,                0.37128,                 1.5377,                 1.3242,                  1.382,               0.000614,               0.000614,               0.000614
                     24,                  1.425,                 1.2338,                 1.3189,                0.72334,                0.61077,                0.68298,                0.38238,                  1.513,                  1.259,                 1.3663,               0.000548,               0.000548,               0.000548
                     25,                 1.3957,                 1.1832,                  1.298,                0.72539,                0.63147,                0.71287,                0.40693,                 1.5079,                 1.2321,                 1.3619,               0.000482,               0.000482,               0.000482
                     26,                 1.3716,                 1.1556,                 1.2789,                0.74659,                0.61698,                0.70968,                0.40027,                 1.5223,                 1.2212,                 1.3684,               0.000416,               0.000416,               0.000416
                     27,                 1.3622,                  1.144,                 1.2826,                  0.744,                0.63285,                 0.7136,                 0.4033,                 1.5203,                 1.2326,                 1.3719,                0.00035,                0.00035,                0.00035
                     28,                 1.3456,                 1.1146,                 1.2731,                0.72351,                0.65424,                0.72773,                0.41917,                 1.4807,                 1.1726,                  1.346,               0.000284,               0.000284,               0.000284
                     29,                 1.3336,                 1.0905,                  1.262,                0.74439,                0.62505,                0.70989,                0.41114,                 1.4898,                 1.1585,                 1.3478,               0.000218,               0.000218,               0.000218
                     30,                 1.3277,                 1.0681,                  1.251,                0.76093,                0.63492,                 0.7387,                0.42714,                 1.4713,                 1.1493,                 1.3292,               0.000152,               0.000152,               0.000152
